value,sector,center_degrees
0.02,1,0
0.02,2,30
0.03,3,60
0.04,4,90
0.04,5,120
0.05,6,150
0.05,7,180
0.06,8,210
0.14,9,240
0.41,10,270
0.11,11,300
0.02,12,330
