value,sector,center_degrees
0.03,1,0
0.04,2,30
0.05,3,60
0.07,4,90
0.07,5,120
0.07,6,150
0.08,7,180
0.07,8,210
0.13,9,240
0.27,10,270
0.09,11,300
0.03,12,330
